DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
DARINGTONST,DARRINGTON,BC
DAUGLAS,DOUGLAS,BXW
DAVISION,DIVISION,BC
DECAATUR,DECATUR,BC
DECATER,DECATUR,BC
DECATOR,DECATUR,BC
DECATURE,DECATUR,BC
DECATURS,DECATUR,BC
DELA FIELD,DELAFIELD,BC
DELAFEILD,DELAFIELD,BC
DELAFIED,DELAFIELD,BC
DELAFIELS,DELAFIELD,BC
DELAFILD,DELAFIELD,ANW
DELAWAEE,DELAWARE,BC
DELAWAEE AVE,DELAWARE,BC
DELEWARE,DELAWARE,PAT
DELFIELD,DELAFIELD,BC
DELLAFIELD,DELAFIELD,ANW
DELWARE,DELAWARE,ANW
DEPENSE,DEFENSE,BC
DERRINGTON,DARRINGTON,RRR
DEXTER TERRSE,DEXTER,BC
DIV,DIVISION,ANW
DIVISON,DIVISION,BXW
DOUBLAS,DOUGLAS,ANW
DOULAS,DOUGLAS,BXW
DOWING,DOWNING,BC
DOWINING,DOWNING,BC
DOWNINGS,DOWNING,BXW
DST,D,ANW
DUBBINGTON,DUDDINGTON,NHC
DUBOIS PACESE,DUBOIS,BC
DUBOIS PLY,DUBOIS,NHC
DUBOISE,DUBOIS,BC
DUBOSE,DUBOIS,BC
DUNBARTON,DUMBARTON,PAT
E BEACH,EAST BEACH,PAT
E CAP,EAST CAPITOL,PAT
E CAPITAL,EAST CAPITOL,JF
E CAPITOL,EAST CAPITOL,BC
E CAPITOL PLAZA,EAST CAPITOL,BXW
E CAPITOL SR,EAST CAPITOL,BC
E CAPTIOL,EAST CAPITOL,BC
EADS SDT,EADS,ANW
EAKER LA BAFB,EAKER,ANW
EAKER LA BOLLING,EAKER,BC
EAKER LA E,EAKER,BC
EARKER,EAKER,BC
EARTERN,EASTERN,BC
EAST CAITOL,EAST CAPITOL,BC
EAST CAP,EAST CAPITOL,ANW
EAST CAPITAL,EAST CAPITOL,ANW
EAST CAPITAL SE,EAST CAPITOL,BXW
EAST CAPITL,EAST CAPITOL,BC
EAST CAPST,EAST CAPITOL,BC
EAST CAPT,EAST CAPITOL,ANW
EAST CAPTIAL,EAST CAPITOL,ANW
EAST CAPTIOL,EAST CAPITOL,BC
EAST CAPTOL,EAST CAPITOL,BXW
EAST EDWARDS,EDWARDS,EHG
EASTCAPITOL,EAST CAPITOL,BC
EASTEN,EASTERN,ANW
EASTER,EASTERN,BC
EASTERN AV NW,EASTERN,BC
EATION,EATON,BXW
ECAPITAL,EAST CAPITOL,BC
ECAPITOL,EAST CAPITOL,BC
ECAPITOLST,EAST CAPITOL,BC
ECLID,EUCLID,BXW
EDEGEWOOD,EDGEWOOD,BC
EDEWOOD,EDGEWOOD,ANW
EDGE VALE,EDGEVALE,BC
EDGELWOOD,EDGEWOOD,BC
EDGEWOD,EDGEWOOD,BC
EDGEWOOOD,EDGEWOOD,PAT
EDGEWOOT,EDGEWOOD,ANW
EDGLEWOOD,EDGEWOOD,BC
EDISON,EDSON,JF
EGGEWOOD,EDGEWOOD,LWG
EIGHTEENTH,18TH,NHC
EIGHTH,8TH,PAT
EIVANS,ELVANS,ANW
ELEVENTH,11TH,MWE
ELGIN,EGLIN,EHG
ELMIA,ELMIRA,BC
ELVAMS,ELVANS,BC
ELVAN,ELVANS,BXW
ELVINS,ELVANS,BXW
ELVIRA,ELMIRA,LWG
EMBASSY PK,EMBASSY PARK,ANW
EMMANUEL CURT,EMMANUEL,ANW
ENCLID,EUCLID,PAT
ENFANT PLAZA,LENFANT,PAT
ERI,ERIE,BC
EST,E,ANW
ESTER,ESTHER,PAT
EUCLIC,EUCLID,PAT
EUCLID ST AP,EUCLID,BC
EVART,EVARTS,BC
EYE,I,NHC
F DUPONT,FORT DUPONT,BC
F ST,F STREET,PAT
F00TE,FOOTE,PAT
FAILRMONT,FAIRMONT,BC
FAIRLAND,FAIRLAWN,BXW
FAIRMIONT,FAIRMONT,ANW
FAIRMON,FAIRMONT,BC
FAIRMOUNT,FAIRMONT,BXW
FAIRRMANT,FAIRMONT,BXW
FALLLA,FALLS,MG
FALLS TERACE,FALLS,PAT
FALLS TERRR,FALLS,BC
FARADY,FARADAY,BC
FARAGUT,FARRAGUT,BXW
FARDAY,FARADAY,BC
FARGUT,FARRAGUT,BXW
FARIMONT,FAIRMONT,BC
FARIRLAWN,FAIRLAWN,BC
FARRADAY,FARADAY,BC
FARRAGET,FARRAGUT,BXW
FARRAGIT,FARRAGUT,BXW
