DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
SANDY SPRINGS,SANDY SPRING,PAT
SANTON,STANTON,BC
SANVANHA,SAVANNAH,BXW
SARAGOTA,SARATOGA,LWG
SARAT0GA,SARATOGA,LWG
SARATEGA,SARATOGA,ANW
SARATOGO,SARATOGA,BXW
SARGEANT,SARGENT,BC
SARGEN,SARGENT,BC
SARGENT RAOD,SARGENT,ANW
SAROTOGA,SARATOGA,BC
SATON,SEATON,BXW
SAV,SAVANNAH,ANW
SAVAANAH,SAVANNAH,BC
SAVAHANNAH,SAVANNAH,BXW
SAVAHHAN,SAVANNAH,LWG
SAVAHNAH,SAVANNAH,BC
SAVANA,SAVANNAH,MG
SAVANAAH,SAVANNAH,ANW
SAVANAH,SAVANNAH,ANW
SAVANHA,SAVANNAH,BXW
SAVANNA,SAVANNAH,BC
SAVANNAN,SAVANNAH,BC
SAVANNH,SAVANNAH,BXW
SAVANNHA,SAVANNAH,BC
SAVANNNAH,SAVANNAH,ANW
SAVVANAH,SAVANNAH,BC
SAVVANNAH,SAVANNAH,BXW
SC,SOUTH CAROLINA,BC
SC TT,SCOTT,PAT
SCAIPTOL,SOUTH CAPITOL,BC
SCAPITAL,SOUTH CAPITOL,ANW
SCAPITOL,SOUTH CAPITOL,BC
SCOT,SCOTT,PAT
SDAKOTA,SOUTH DAKOTA,BXW
SEARGENT,SARGENT,BC
SEDAR,CEDAR,BXW
SEDGEWICK,SEDGWICK,PAT
SEDWICK,SEDGWICK,ANW
SERGENT,SARGENT,BC
SEVENTEENTH,17TH,NHC
SEVENTH,7TH,NHC
SHEFIFF,SHERIFF,BXW
SHEMAN,SHERMAN,BXW
SHEPARD,SHEPHERD,BXW
SHEPERD,SHEPHERD,BXW
SHEPHARD,SHEPHERD,BXW
SHERDIAN,SHERIDAN,BC
SHERHARD,SHEPHERD,BXW
SHERIDAIN,SHERIDAN,ANW
SHERIDEN,SHERIDAN,BXW
SHERIDIAN,SHERIDAN,EHG
SHERMAN AVEL,SHERMAN,EHG
SHERPHERD,SHEPHERD,BXW
SHERRIER,SHERIER,MWE
SHERRIF,SHERIFF,BC
SHERRIFF,SHERIFF,BXW
SHIPLEYTERR,SHIPLEY,ANW
SHIRLEY,SHIPLEY,BXW
SHPHERD,SHEPHERD,BC
SIMMIS,SIMMS,LWG
SIXTEENTH,16TH,NHC
SIXTEENTH ST AP,16TH,BC
SIXTH,6TH,ANW
SKYLINE,SKYLAND,BC
SLIGO MILLS,SLIGO MILL,ANW
SMITH PL 36B,SMITH,BC
SND,2ND,BC
SO CAP,SOUTH CAPITOL,BC
SO CAPITAL,SOUTH CAPITOL,BC
SO CAPITOL,SOUTH CAPITOL,LWG
SO CAPT,SOUTH CAPITOL,BC
SO CAPTST,SOUTH CAPITOL,ANW
SOMERS,SOMERSET,EHG
SOMMERSET,SOMERSET,ANW
SOSUTH DAKOTA,SOUTH DAKOTA,MG
SOTHERN,SOUTHERN,BC
SOUCAP,SOUTH CAPITOL,BXW
SOUGHERN,SOUTHERN,BC
SOUHERN,SOUTHERN,LWG
SOUNTHERN,SOUTHERN,BC
SOURTHERN,SOUTHERN,ANW
SOUTERN,SOUTHERN,BC
SOUTH CAITOL,SOUTH CAPITOL,BC
SOUTH CAP,SOUTH CAPITOL,BC
SOUTH CAPITAL,SOUTH CAPITOL,JF
SOUTH CAPITOA,SOUTH CAPITOL,BXW
SOUTH CAPST,SOUTH CAPITOL,ANW
SOUTH CAPT,SOUTH CAPITOL,BC
SOUTH CAPTIOL,SOUTH CAPITOL,PAT
SOUTH CAPTST,SOUTH CAPITOL,BC
SOUTH DAK,SOUTH DAKOTA,BC
SOUTH DAKAVE,SOUTH DAKOTA,BC
SOUTH HALL,SOUTHALL,ANW
SOUTHBALL,SOUTHALL,BC
SOUTHEERN,SOUTHERN,BXW
SOUTHEN,SOUTHERN,BXW
SOUTHER,SOUTHERN,BC
SOUTHERN ACE,SOUTHERN,BXW
SOUTHERN AVENUESE,SOUTHERN,ANW
SOUTHERN AVR,SOUTHERN,BC
SOUTHERRN,SOUTHERN,MG
SOUTHHALL,SOUTHALL,BC
SOUTHN CAP,SOUTH CAPITOL,BXW
SOUTHREN,SOUTHERN,BC
SOUTNERN,SOUTHERN,BC
SPRINGRD,SPRING,BC
SRATOGA,SARATOGA,ANW
SRPING,SPRING,BC
SST,S,BC
ST MARYS,SAINT MARYS,PAT
ST MATTHEW S,ST MATTHEWS,PAT
STANON,STANTON,BC
STANTON RAOD,STANTON,BC
STANTON RO,STANTON,BC
STANTON ROADD,STANTON,ANW
STANTON ROADSE,STANTON,ANW
STAPLE,STAPLES,RRR
STATION,STANTON,BXW
STATNON,STANTON,BC
STATON,STANTON,ANW
STEPHENSEN,STEPHENSON,BC
STEPHESON,STEPHENSON,BC
STERVENS,STEVENS,BXW
STEVEN,STEVENS,PAT
STEVNS,STEVENS,BC
STSNTON,STANTON,ANW
STUITLANDTER,SUITLAND,BC
STYVESANT,STUYVESANT,ANW
SUMMER,SUMNER,BXW
SUMMERSET,SOMERSET,BXW
SURCUM CORDA,SURSUM CORDA,BC
SURSUM CURDA,SURSUM CORDA,PAT
SUTER,SUTERS,PAT
SWAIN,SWANN,BC
SWAN,SWANN,BXW
TABIAS,TOBIAS,ANW
TASSIUG,TAUSSIG,ANW
TAUSSING,TAUSSIG,LWG
TAYLER,TAYLOR,ANW
TAYLORS,TAYLOR,BC
TEAXAS,TEXAS,ANW
TENN,TENNESSEE,BXW
TENNESSE,TENNESSEE,BC
TENNESSESS,TENNESSEE,LWG
TENTH,10TH,NHC
TERNTON,TRENTON,ANW
TEWEKESBURY,TEWKESBURY,BC
TEWESBURY,TEWKESBURY,PAT
TEWKESBERY,TEWKESBURY,BC
TEWKESBURG,TEWKESBURY,ANW
TEWKESBURRY,TEWKESBURY,BC
TEWKSBURY,TEWKESBURY,BXW
TEWSKESBURY,TEWKESBURY,BC
TEX,TEXAS,BC
THIESEN,THEISEN,BC
THIRTEENTH,13TH,NHC
TILDENT,TILDEN,BC
TINIDAD,TRINIDAD,BC
TOBIES,TOBIAS,ANW
TOBIS,TOBIAS,EHG
TOBMAN,TUBMAN,BC
TR,TERRACE,PAT
TRANTON,TRENTON,JF
TRENTION,TRENTON,BXW
TRENTONT,TRENTON,BC
TRENTTON,TRENTON,ANW
TRETON,TRENTON,ANW
TRINADAD,TRINIDAD,BXW
TRINDAD,TRINIDAD,BXW
TRINIDA,TRINIDAD,BC
TRININDAD,TRINIDAD,BXW
TRNETON,TRENTON,BC
TRNIDAD,TRINIDAD,BC
TRUMONT,TREMONT,BC
TST,T,BXW
TUCKERMANN,TUCKERMAN,BC
TUKERMAN,TUCKERMAN,BC
TUNLW,TUNLAW,PAT
TUNMAN,TUBMAN,PAT
TWELVETH,12TH,MAG
TWENTY 2ND,22ND,MAG
TWENTYSECOND,22ND,ANW
ULAND,UHLAND,ANW
UNDEWOOD,UNDERWOOD,BC
UNLAND,UHLAND,EHG
UOTON,UPTON,ANW
UPHUR,UPSHUR,BC
UPSACLE,UPSAL,BC
UPSHER,UPSHUR,BC
UPSHURE,UPSHUR,BXW
UST,U,ANW
UTAH ANE,UTAH,ANW
VA,VIRGINIA,PAT
VALEY,VALLEY,BC
VALLEY GREEN,VALLEY,PAT
VALLEY PL ASE,VALLEY,BC
VAN NES EAST,VAN NESS,PAT
VANBUREN,VAN BUREN,BXW
VANDENBURG,VANDENBERG,BC
VANESS,VAN NESS,BC
VANHOE,IVANHOE,BC
VANN NESS,VAN NESS,ANW
VANNESS,VAN NESS,BC
VARNDY,VARNEY,BC
VARNUN,VARNUM,BC
VARUM,VARNUM,ANW
VEE,V,PAT
VERBANA,VERBENA,BC
VERNEY,VARNEY,PAT
VERNOON,VERNON,BC
VERPLANK,VERPLANCK,PAT
VQLLEY,VALLEY,BC
VST,V,BC
VT,VERMONT,PAT
W BEACH,WEST BEACH,BC
W LA,WEST LANE,PAT
W VA,WEST VIRGINIA,BXW
W VIRGINA,WEST VIRGINIA,BXW
W VIRGINIA,WEST VIRGINIA,BXW
WA CLARK,WACLARK,BC
WAGNER S,WAGNER,BC
WAHLER L,WAHLER,MWE
WALBRIGE,WALBRIDGE,BC
WALER,WAHLER,BC
WALLER,WALTER,BC
WALTER HOUPE,WALTER HOUP,PAT
WANGER,WAGNER,ANW
WARNDER,WARDER,BC
WASH,WASHINGTON,BXW
WAVER,WEAVER,BC
WEBSER,WEBSTER,ANW
WEST LA,WEST LANE,PAT
WEST VA,WEST VIRGINIA,BXW
WEST VIRGINA,WEST VIRGINIA,PAT
WEST VIRIGINA,WEST VIRGINIA,ANW
WEST VIRIGINIA,WEST VIRGINIA,ANW
WESTMINISTER,WESTMINSTER,PAT
WESWETOVER,WESTOVER,BC
WHALER,WAHLER,BXW
WHALER PLSCE,WAHLER,BC
WHEELER HILLS,WHEELER HILL,LWG
WHELER,WHEELER,ANW
WHELLER,WHEELER,JF
WHIITTIER,WHITTIER,ANW
WHITTER,WHITTIER,BXW
WILLINGTON,WILMINGTON,BXW
WILMIGTON,WILMINGTON,BXW
WINDOW,WINDOM,ANW
WINSCONSIN,WISCONSIN,MG
WINSOM,WINDOM,PAT
WISC,WISCONSIN,PAT
WISCONSON,WISCONSIN,NHC
WRIGHTCICLE,WRIGHT,BC
WVIRGINIA,WEST VIRGINIA,BC
XEINA,XENIA,BC
XENIA PLACESE,XENIA,ANW
YONT,YOUNT,BC
YUMIA,YUMA,BC
YUMMA,YUMA,BC
ZENIA,XENIA,BC
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
